entity,code,population,internetUsersPercent
Malta,MLT,504062,85.77859638
Myanmar,MMR,54045420,23.62108195
Middle East & North Africa (excluding high income),MNA,389457086,59.64250042
Montenegro,MNE,622028,73.47666575
Mongolia,MNG,3225167,51.07999408
Northern Mariana Islands,MNP,57216,
Mozambique,MOZ,30366036,20.7740003
Mauritania,MRT,4525696,20.80096366
Mauritius,MUS,1265711,63.99989817
Malawi,MWI,18628747,13.78216439
Malaysia,MYS,31949777,84.21322418
North America,NAC,36589693488.49890317,
Namibia,NAM,2494530,36.83740647
New Caledonia,NCL,287800,82.0058408
Niger,NER,23310715,5.250487687
Nigeria,NGA,200963599,72.98991402
Nicaragua,NIC,6545502,27.86304001
Netherlands,NLD,17344874,93.2885906
Norway,NOR,5347896,98.00000439
Nepal,NPL,28608710,21.40351043
Nauru,NRU,12581,62.38512451
New Zealand,NZL,4979300,90.81109307
OECD members,OED,1360092863,82.8394626682666
Oman,OMN,4974986,92.40844424
Other small states,OSS,31361265,49.970755190006
Pakistan,PAK,216565318,17.07090203
Panama,PAN,4246439,63.62841477
Peru,PER,32510453,59.9505036
Philippines,PHL,108116615,43.02661187
Palau,PLW,18008,26.97033263
Papua New Guinea,PNG,8776109,11.20919659
Poland,POL,37965475,84.51645192
Pre-demographic dividend,PRE,944902749,16.1693115837758
Puerto Rico,PRI,3193694,70.8743212
"Korea, Dem. People's Rep.",PRK,25666161,
Portugal,PRT,10286263,75.34637155
Paraguay,PRY,7044636,68.51762842
West Bank and Gaza,PSE,4685306,70.62260685
Pacific island small states,PSS,2493696,32.727667615211
Post-demographic dividend,PST,1113006461,
French Polynesia,PYF,279287,72.70389531
Qatar,QAT,2832067,99.65280421
Romania,ROU,19366221,73.65748258
Russian Federation,RUS,144406261,82.64216187
Rwanda,RWA,12626950,21.76763262
South Asia,SAS,1835776742,20.08130004
Saudi Arabia,SAU,34268528,95.7247356
Sudan,SDN,42813238,30.87029573
Senegal,SEN,16296364,29.64312367
Singapore,SGP,5703569,88.94925269
Solomon Islands,SLB,669823,11.92422906
Sierra Leone,SLE,7813215,13.23693043
El Salvador,SLV,6453553,33.8207289
San Marino,SMR,33860,60.18230126
Somalia,SOM,15442905,2.004048698
Serbia,SRB,6945235,77.41677362
Sub-Saharan Africa (excluding high income),SSA,1105594559,18.662633851203
South Sudan,SSD,11062113,7.977428907
Sub-Saharan Africa,SSF,1106957895,18.7117514293184
Small states,SST,41256344,50.6580765537488
Sao Tome and Principe,STP,215056,29.9312292
Suriname,SUR,581363,48.94517397
Slovak Republic,SVK,5454147,82.8536605
Slovenia,SVN,2088385,83.1083578
Sweden,SWE,10278887,94.49344341
Eswatini,SWZ,1148130,30.3
Sint Maarten (Dutch part),SXM,40733,
Seychelles,SYC,97625,58.76981124
Syrian Arab Republic,SYR,17070135,34.25340193
Turks and Caicos Islands,TCA,38191,
Chad,TCD,15946876,6.49999812
East Asia & Pacific (IDA & IBRD countries),TEA,2067984156,50.9964371075183
Europe & Central Asia (IDA & IBRD countries),TEC,460786185,79.33344151
Togo,TGO,8082366,12.36022497
Thailand,THA,69625582,66.65241317
Tajikistan,TJK,9321018,21.96
Turkmenistan,TKM,5942089,21.25099741
Latin America & the Caribbean (IDA & IBRD countries),TLA,630644772,65.942746764381
Timor-Leste,TLS,1293119,27.49273173
Middle East & North Africa (IDA & IBRD countries),TMN,384771780,59.5675017688562
Tonga,TON,104494,41.24872764
South Asia (IDA & IBRD),TSA,1835776742,20.08130004
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106957895,18.7117514293184
Trinidad and Tobago,TTO,1394973,77.32605293
Tunisia,TUN,11694719,66.6999983
Turkey,TUR,83429615,73.97670403
Tuvalu,TUV,11646,49.31833862
Tanzania,TZA,58005463,15.99999943
Uganda,UGA,44269594,23.70653091
Ukraine,UKR,44386203,62.55315539
Upper middle income,UMC,2855841764,56.4402758542386
Uruguay,URY,3461734,76.94955197
United States,USA,328239523,88.49890317
Uzbekistan,UZB,33580350,55.20000067
St. Vincent and the Grenadines,VCT,110589,20.68943522
"Venezuela, RB",VEN,28515829,64.31336383
British Virgin Islands,VGB,30030,77.70426829
Virgin Islands (U.S.),VIR,106669,64.3774943
Vietnam,VNM,96462106,68.7
Vanuatu,VUT,299882,25.71978784
World,WLD,7673656872,48.9969115845464
Samoa,WSM,197097,33.61093932
Kosovo,XKX,1788878,89.44303197
"Yemen, Rep.",YEM,29161922,26.71835477
South Africa,ZAF,58558267,56.16739447
Zambia,ZMB,17861030,14.2999971
Zimbabwe,ZWE,14645468,27.05548769
